TimeStamp|Site|ArticleNumber|MCH5|BaseUoM|UnreUseQty|UnreConsQty|TransitQty|UnprSaleQty
20231002051008|1511|10602067|101050203|KG||||
20231002051008|1511|10162784|201051203|CAI||||
20231002051008|1511|10331240|201011104|CAI||||
20231002051008|1511|10184236|101020601|CHA||||
20231002051008|1511|10190616|102010299|HOP||||
20231002051008|1511|10165719|203020505|CAI||||
20231002051008|1511|10191604|102010505|G1||||
20231002051008|1511|10165773|201010403|CAI||||
20231002051008|1511|10281175|101010201|GOI||||
20231002051008|1511|10165942|201031205|CAI||||
20231002051008|1511|10142109|102060503|G1||||
20231002051008|1511|10054870|101060102|KG||||
20231002051008|1511|10625755|203040799|QUY||||
20231002051008|1511|10333183|203040405|CAI||||
20231002051008|1511|10250774|203050501|CAI||||
20231002051008|1511|10005407|102020601|HOP||||
20231002051008|1511|10010662|102060511|CHA||||
20231002051008|1511|10284249|101060209|HOP||||
20231002051008|1511|10625342|201070203|ZD||||
20231002051008|1511|10166269|201050902|ZBO||||
20231002051008|1511|10281723|101050203|KG||||
20231002051008|1511|10281502|101030302|KG||||
20231002051008|1511|10194240|102061203|HOP||||
20231002051008|1511|10054890|101060209|KG||||
20231002051008|1511|10331556|203040799|QUY||||
20231002051008|1511|10228051|102030601|CHA||||
20231002051008|1511|10330387|201010104|CAI||||
20231002051008|1511|10170087|102040301|G1||||
20231002051008|1511|10282298|101010301|CAI||||
20231002051008|1511|10250035|203030321|ZBO||||
20231002051008|1511|10282427|101050602|KG||||
20231002051008|1511|10265913|101030402|BOS||||
20231002051008|1511|10325563|102061102|G1||||
20231002051008|1511|10230267|102020601|HOP||||
20231002051008|1511|10164899|201010801|CAI||||
20231002051008|1511|10282403|101030402|G1||||
20231002051008|1511|10019612|202020101|G1||||
20231002051008|1511|10324940|202030501|CHA||||
20231002051008|1511|10243545|101030401|G1||||
20231002051008|1511|10197229|203030218|ZBO||||
20231002051008|1511|10025416|203030338|CAI||||
20231002051008|1511|10013577|102010102|CAI||||
20231002051008|1511|10602042|101050202|KG||||
20231002051008|1511|10242566|101060105|KG||||
20231002051008|1511|10242421|101030301|KH||||
20231002051008|1511|10006688|102040407|KH||||
20231002051008|1511|10195480|102010602|G1||||
20231002051008|1511|10016602|202030702|CAI||||
20231002051008|1511|10182342|101010201|G1||||
20231002051008|1511|50005864|501020801|CAI||||
20231002051008|1511|10314408|102030404|CHA||||
20231002051008|1511|10086037|101030303|KG||||
20231002051008|1511|10161002|202030502|CHA||||
20231002051008|1511|10165306|201051101|ZBO||||
20231002051008|1511|10018718|202030321|CAI||||
20231002051008|1511|10196042|102010601|HOP||||
20231002051008|1511|10181116|102060905|G1||||
20231002051008|1511|10011772|102030402|G1||||
20231002051008|1511|10165331|201052003|CAI||||
20231002051008|1511|10405705|101040501|KG||||
20231002051008|1511|10600922|203010302|CAI||||
20231002051008|1511|10165010|201051101|ZBO||||
20231002051008|1511|10195911|102010299|G1||||
20231002051008|1511|10243212|101030101|CAI||||
20231002051008|1511|10166336|201010402|CAI||||
20231002051008|1511|10024739|203030109|CAI||||
20231002051008|1511|10055970|101050501|KG||||
20231002051008|1511|10026615|203030226|CAI||||
20231002051008|1511|10009634|102060502|LO||||
20231002051008|1511|10011251|102030404|CHA||||
